time,slip velocity (m/s),accumlated slip (m),axial shortening (mm),normal stress (MPa),shear stress (MPa),temp (¢ªC),friction
65,0.002177205,0.152812493,0.42057569,0.330874379,0.554185644,20.2,1.674912531
66,0.002714532,0.155527025,0.42457641,0.360069994,0.587153448,20.2,1.630664754
67,0.001908541,0.157435566,0.42357623,0.361691973,0.581447482,20.2,1.607576408
68,0.002983195,0.160418761,0.42457641,0.360069994,0.577009509,20.25,1.602492621
69,0.002445868,0.16286463,0.42257605,0.337362294,0.547845682,20.25,1.62390905
70,0.002983195,0.165847825,0.42457641,0.338984272,0.551649659,20.25,1.627360631
71,0.002445868,0.168293694,0.42557659,0.337362294,0.557355625,20.25,1.652098162
72,0.002177205,0.170470899,0.42707686,0.347094165,0.578277501,20.2,1.66605365
73,0.001639878,0.172110777,0.42807704,0.342228229,0.572571535,20.15,1.673069273
74,0.002177205,0.174287981,0.42657677,0.329252401,0.558623618,20.15,1.696642505
75,0.002177205,0.176465186,0.42707686,0.347094165,0.571303542,20.3,1.64596124
76,0.002714532,0.179179718,0.42807704,0.345472187,0.558623618,20.25,1.616985793
77,0.002177205,0.181356923,0.42707686,0.335740315,0.544675701,20.2,1.622312472
78,0.001639878,0.182996801,0.42707686,0.329252401,0.541505719,20.3,1.644652304
79,0.002714532,0.185711333,0.42657677,0.340606251,0.557355625,20.25,1.636363466
80,0.002177205,0.187888538,0.42307614,0.343850208,0.557355625,20.3,1.62092566
81,0.002177205,0.190065743,0.42357623,0.361691973,0.57510752,20.2,1.590047785
82,0.002177205,0.192242948,0.42307614,0.351960101,0.565597576,20.25,1.606993448
83,0.002714532,0.19495748,0.42407632,0.343850208,0.547845682,20.2,1.593268432
84,0.002983195,0.197940675,0.42557659,0.338984272,0.542773712,20.2,1.601176681
85,0.002177205,0.20011788,0.42707686,0.338984272,0.547845682,20.2,1.616138938
86,0.002177205,0.202295085,0.42857713,0.335740315,0.548479678,20.2,1.63364259
87,0.002445868,0.204740953,0.42807704,0.355204058,0.588421441,20.15,1.656572968
88,0.00566983,0.210410784,0.4300774,0.343850208,0.546577689,20.25,1.589580802
89,0.002177205,0.212587989,0.43207776,0.340606251,0.555453637,20.25,1.630779339
90,0.002983195,0.215571184,0.43307794,0.361691973,0.576375512,20.3,1.59355351
91,0.001908541,0.217479725,0.43257785,0.348716144,0.565597576,20.15,1.621942621
92,0.002714532,0.220194257,0.43357803,0.360069994,0.587153448,20.25,1.630664754
93,0.002177205,0.222371462,0.43207776,0.355204058,0.578277501,20.2,1.628014905
94,0.00566983,0.228041293,0.42807704,0.350338122,0.558623618,20.25,1.594527064
95,0.002714532,0.230755824,0.42857713,0.361691973,0.577009509,23.85,1.595306372
96,0.002714532,0.233470356,0.42707686,0.360069994,0.573205531,24.4,1.591928072
97,0.002177205,0.235647561,0.42607668,0.345472187,0.552283655,24.1,1.598634208
98,0.002714532,0.238362093,0.42807704,0.350338122,0.54974767,24.05,1.56919169
99,0.002177205,0.240539298,0.42657677,0.335740315,0.534531761,24.1,1.592098824
100,0.002714532,0.24325383,0.43307794,0.351960101,0.558623618,24.15,1.58717882
101,0.002177205,0.245431035,0.43157767,0.351960101,0.587153448,23.4,1.668238663
102,0.00566983,0.251100865,0.43807884,0.342228229,0.551649659,22.35,1.611934995
103,0.002177205,0.25327807,0.43557839,0.337362294,0.547845682,20.3,1.62390905
104,0.002177205,0.255455275,0.43807884,0.348716144,0.577009509,20.25,1.654668184
105,0.002445868,0.257901144,0.44107938,0.35358208,0.590323429,20.2,1.669551325
106,0.003251859,0.261153002,0.44207956,0.345472187,0.58525146,20.25,1.694062452
107,0.002177205,0.263330207,0.43857893,0.35358208,0.601101365,20.2,1.700033458
108,0.002177205,0.265507412,0.42707686,0.319520529,0.538335738,20.25,1.684823632
109,0.002445868,0.267953281,0.42807704,0.330874379,0.555453637,20.35,1.678744779
110,0.002983195,0.270936476,0.42807704,0.343850208,0.567499565,20.25,1.650426703
111,0.002445868,0.273382344,0.42757695,0.334118336,0.551649659,20.25,1.651060714
112,0.001639878,0.275022222,0.42557659,0.319520529,0.530727783,20.15,1.661013097
113,0.001639878,0.2766621,0.42757695,0.314654593,0.520583844,20.2,1.654461288
114,0.001908541,0.278570642,0.42957731,0.321142508,0.547845682,20.2,1.705927022
115,0.002714532,0.281285174,0.43307794,0.337362294,0.573205531,20.3,1.699080016
116,0.003251859,0.284537033,0.43057749,0.340606251,0.574473524,20.3,1.686620613
117,0.002983195,0.287520228,0.43057749,0.327630422,0.535799753,20.3,1.635378516
118,0.001639878,0.289160106,0.43357803,0.337362294,0.554185644,20.25,1.642701791
119,0.003251859,0.292411965,0.43907902,0.347094165,0.576375512,20.35,1.660573902
120,0.001371214,0.293783179,0.4400792,0.345472187,0.572571535,20.35,1.657359281
121,0.001639878,0.295423057,0.44107938,0.350338122,0.587153448,20.2,1.675962194
122,0.002714532,0.298137589,0.44157947,0.356826037,0.601101365,20.35,1.684578208
123,0.005401167,0.303538756,0.43057749,0.337362294,0.555453637,20.3,1.64646034
124,0.002714532,0.306253288,0.43057749,0.350338122,0.561159603,20.25,1.601765742
125,0.002445868,0.308699156,0.43057749,0.358448015,0.568133561,20.3,1.584981746
126,0.002177205,0.310876361,0.42907722,0.334118336,0.541505719,20.25,1.620700394
127,0.003520522,0.314396884,0.43257785,0.343850208,0.545309697,20.3,1.585893171
128,0.001639878,0.316036761,0.43157767,0.334118336,0.534531761,20.25,1.599827673
129,0.002983195,0.319019957,0.43607848,0.345472187,0.564329584,20.3,1.63350222
130,0.001639878,0.320659835,0.43457821,0.350338122,0.589055437,20.25,1.681391203
131,0.00486384,0.325523675,0.43257785,0.342228229,0.542773712,20.2,1.58599924
132,0.002445868,0.327969543,0.43607848,0.345472187,0.558623618,20.25,1.616985793
133,0.002983195,0.330952738,0.44207956,0.358448015,0.577009509,20.2,1.609743907
134,0.003251859,0.334204597,0.44658037,0.361691973,0.58525146,20.4,1.618093582
135,0.002983195,0.337187793,0.44708046,0.361691973,0.582081478,20.25,1.609329271
136,0.002177205,0.339364998,0.44608028,0.363313951,0.592225418,20.35,1.630065172
137,0.003789186,0.343154184,0.43457821,0.340606251,0.547845682,20.3,1.608442829
138,0.002445868,0.345600052,0.43257785,0.35358208,0.569401554,20.25,1.610380126
139,0.002445868,0.34804592,0.43207776,0.360069994,0.578277501,20.25,1.606014138
140,0.001639878,0.349685798,0.43157767,0.356826037,0.572571535,20.15,1.604623755
141,0.003251859,0.352937657,0.43357803,0.348716144,0.559257614,20.35,1.603761753
142,0.005132503,0.358070161,0.43207776,0.335740315,0.543407708,20.15,1.618535766
143,0.002983195,0.361053356,0.43407812,0.340606251,0.550381667,20.2,1.615888333
144,0.002714532,0.363767888,0.43557839,0.350338122,0.561159603,20.25,1.601765742
145,0.001908541,0.365676429,0.43357803,0.347094165,0.565597576,20.3,1.629521994
146,0.002177205,0.367853634,0.43557839,0.343850208,0.560525606,20.2,1.630144736
147,0.002445868,0.370299503,0.44307974,0.360069994,0.588421441,20.25,1.634186271
148,0.002177205,0.372476708,0.44658037,0.35358208,0.588421441,20.15,1.664172125
149,0.002177205,0.374653912,0.44658037,0.356826037,0.590323429,20.25,1.654373192
